;Angelholm;;Швеция;56.296072;12.847139
Вагенинген;Wageningen;Вагенинген;Суринам;5.833;-56.650
Агуни;Aguni;Агуни;Япония;26.592499;127.240833
Кагуа;Kagua;Кагуа;Папуа - Новая Гвинея;-6.383;143.850
Ванигела;Wanigela;Ванигела;Папуа - Новая Гвинея;-9.333;149.150
;Tasiilaq;;Гренландия;65.612222;-37.618333
Ангун;Angoon;;США;57.503555;-134.585094
;Municipal;;США;33.227468;-93.216992
;Pablo Ruiz Picasso;Малага;Испания;36.674900;-4.499106
Агринио;Agrinion;Агринио;Греция;38.602022;21.351208
;Kheria;Агра;Индия;27.155831;77.960892
;Bush Field;;США;33.369943;-81.964500
;Alejo Garcia;Кудад-дель-Эсте;Парагвай;-25.455500;-54.843592
;Aguascalients;Агуаскалиентес;Мексика;21.705558;-102.317858
Акарикуа;Acarigua;Акарикуа;Венесуэла;9.553422;-69.237536
;Agnew;;Австралия;-12.145556;142.149167
Агатти-Айленд;Agatti Island;Агатти-Айленд;Индия;10.823656;72.176042
;Argyle Downs;;Австралия;-16.333;128.767
Аггенейз;Aggeneys;Аггенейз;ЮАР;-29.281767;18.813869
;Naha Air Force Base;Окинава;Япония;26.фев;127.65
Абха;Abha;Абха;Саудовская Аравия;18.240367;42.656625
;Amedee AAF;;Норвегия;40.265918;-120.150613
;Downtown;Ардмор;США;34.146989;-97.122652
;Ahe Airport;;Французская Полинезия;-14.427778;-146.255000
;Municipal;;Гватемала;40.339451;-99.906513
;Municipal;;США;45.281148;-92.375392
Амахаи;Amahai;Амахаи;Индонезия;-3.348;128.926
Аисхалтон;Aishalton;Аисхалтон;Гайана;2.473604;-59.321110
Афины;Athens;Афины;Греция;33.948595;-83.326347
;Fertilia;;Италия;40.632133;8.290772
Ахуас;Ahuas;Ахуас;Гондурас;15.472222;-84.352222
Ам-Тиман;Amchitka;Ам-Тиман;США;51.5;179
;Charif Al Idrissi;;Марокко;35.177103;-3.839525
Амбатолахи;Ambatolahy;Амбатолахи;Мадагаскар;-20.000;45.533
;Alpe D Huez;;Франция;45.088333;6.084722
Альянс;Alliance;;США;42.053222;-102.803778
Анита Бэй;Anita Bay;;США;56.233333333333;-132.38333333333
Айрок;Airok;;Маршалловы острова;7.100;171.233
;Municipal;;США;40.108611;-85.613000
Айоме;Aiome;Айоме;Папуа - Новая Гвинея;-5.133;144.717
;Assis;;Бразилия;-22.638564;-50.455914
Ялинга;Yalinga;Ялинга;Центральноафриканская Республика;6.520;23.260
;Aiambak;;Папуа - Новая Гвинея;-7.35;141.26666666667
;Alisabieh;;Джибути;11.133;42.717
;Municipal;;США;33.649376;-81.685036
Айлиганди;Ailigandi;Айлиганди;Панама;9.217;-78.017
;Ailuk Island;;Маршалловы острова;10.200;169.983
;Wainwright;;США;70.638000;-159.994750
;Municipal;;США;41.403833;-95.048750
;Ailinglapalap Island;;Маршалловы острова;7.267;168.817
;Aripuana;;Бразилия;-10.186389;-59.457500
Ароре-Айленд;Arorae Island;Ароре-Айленд;Кирибати;-2.616111;176.802500
Аитутаки;Aitutaki;Аитутаки;Острова Кука;-18.830922;-159.764233
;Atiu Island;;Острова Кука;-19.967778;-158.119167
;George Downer;;США;33.106465;-88.197792
;Ai-ais;;Намибия;-27.983333333333;17.583055555556
;Bader Field;Атлантик Сити;США;39.366666666667;-74.45
;Lee C Fine Memorial;;США;38.096035;-92.549488
Кампо Дель Оро;Campo Dell Oro;Аяччио;Франция;41.923889;8.802500
Джуф;Jouf;;Саудовская Аравия;29.785133;40.100006
;"A&amp;#287;ri";Агри;Италия;39.654569;43.027150
Акжужт;Akjoujt;Акжужт;Мавритания;19.731667;-14.379444
;Araak;;Иран;34.138147;49.847292
Айзаул;Aizawl;Айзаул;Индия;23.746603;92.802767
;Ouani;Анжуан;Коморские острова;-12.131667;44.430279
Альюф;Aljouf;Альюф;Йемен;15.717;44.250
Арвидсьяур;Arvidsjaur;Арвидсьяур;Швеция;65.590278;19.281944
Абреохос;Abreojos;Абреохос;Мексика;26.727222;-113.559444
Санта Мария;Santa Maria;Аракайю;Бразилия;-10.984000;-37.070333
;Agades;;Нигер;16.965997;8.000114
Анькан;Ankang;Анькан;Китай;32.708056;108.931389
;Atka;;США;52.220586;-174.206183
;Fulton International;;ЮАР;41.037500;-81.466917
Акола;Akola;Акола;Индия;20.699006;77.058628
Акиени;Akieni;Акиени;Габон;-1.129436;13.920506
Куфра;Kufrah;Куфра;Ливия;24.178728;23.313958
